ano,munip_cod,munip_nome,munip_turistico,abast_rede_fator_correcao,esgot_fator_correcao,idh_2010,idhm_e_2010,idhm_l_2010,idhm_r_2010,proj_pop_urbana,proj_pop_rural,proj_pop_total,proj_domicilios_total,pop_total_2010,pop_urbana_2010,pop_rural_2010,pop_servida_abast_agua,pop_servida_poco_nasc,pop_abast_sist_adequados,pop_servida_rede_esgoto,pop_fossa_septica,pop_fossa_rudimentar,pop_servida_coleta_esgoto,prop_pop_abast_sist_adequados,prop_pop_servida_poco_nasc,prop_pop_servida_rede_publica_agua,prop_pop_servida_coleta_esgoto,prop_pop_fossa_septica,prop_pop_servida_rede_coleta,prop_perdas_rede_dist,prop_esgoto_tratado,domicilios_total_2010,num_dom_fossa_septica,num_dom_fossa_rudimentar,num_dom_abast_poco_na_propriedade,taxa_hab_domicilio,volume_agua_efe_disp,volume_agua_perdido_rede,volume_agua_efe_consumido,volume_esgoto_produzido,volume_esgoto_tratado,consumo_medio_per_capita,ind_ag013,abast_rede_geral_ibge_2010
2018,352590,Jundiaí,não,0.842881263945004,0.8235165530965447,0.822,0.768,0.866,0.834,388041,12508,400549,136888,370126,354204,15922,418632.74535795825,18160.425471275255,436793.1708292335,397180.8729179799,17967.337567551567,9037.868897101733,415148.2104855315,109.04862347159361,4.533883612560574,104.51473985903304,103.64480013320005,4.485677799108615,99.15912233409144,36.58269302178844,113.5573350003864,118243,6140.354625643801,3088.700252869092,6206.342599561919,2.926107474723862,47989.659999999996,17555.909999999996,35700.523,28560.418400000002,32432.45,233.64071047801312,169737,111820
2019,352590,Jundiaí,não,0.842881263945004,0.8235165530965447,0.822,0.768,0.866,0.834,391578,12191,403769,139090,370126,354204,15922,418532.3990304674,18306.416523599702,436838.8155540671,397724.00538545963,18111.776392682863,9110.524022563703,415835.7817781425,108.19028096611356,4.533883612560573,103.65639735355299,102.98853596441096,4.485677799108615,98.50285816530234,36.80204653991459,126.65979062464312,118243,6239.129250780173,3138.385528107372,6306.178716710502,2.902933352505572,49394.59,18178.219999999998,36669.835999999996,29335.868799999997,37156.75,240.04188049077558,171051,111820
2010,352600,Junqueirópolis,não,0.9720030063885757,0.9924021040327294,0.745,0.662,0.86,0.727,15399,3327,18726,5786,18726,15399,3327,16742.066712754924,1498.4683719322502,18240.535084687173,16486.388524023507,802.6353266505357,1375.483926719668,17289.023850674042,97.4075354303491,8.00207397165572,89.40546145869338,92.3263048738334,4.286208088489457,88.04009678534393,43.0327868852459,81.52492668621701,5786,248,424.99999999999994,463,3.2364327687521603,2440,1050,1705,1364,1112,279.01172279725506,5322,5173
2011,352600,Junqueirópolis,não,0.9720030063885757,0.9924021040327294,0.745,0.662,0.86,0.727,15556,3291,18847,5860,18726,15399,3327,17150.154073117836,1508.1508814379538,18658.304954555788,17510.07854377318,807.821638437608,1384.3717594192879,18317.900182210786,98.99880593492752,8.00207397165572,90.9967319632718,97.19265762302109,4.286208088489457,92.90644953453163,30.555555555555557,72.23030554978173,5786,251.1717939854822,430.4355340477013,468.9215347390253,3.2162116040955633,2448,748,1924.4,1539.5200000000002,1112,307.4216560763992,5486,5173
2012,352600,Junqueirópolis,não,0.9720030063885757,0.9924021040327294,0.745,0.662,0.86,0.727,15726,3258,18984,5935,18726,15399,3327,NA,1519.113722779122,NA,17906.502925665096,813.6937435188386,1394.434842723816,18720.196669183933,NA,8.00207397165572,NA,98.61039121989008,4.286208088489457,94.32418313140062,32.02416918429003,73.01401869158877,5786,254.38645005184927,435.9445212582094,474.923090217767,3.198652064026959,2648,848,2054.4,1643.5200000000002,1200,NA,NA,5173
2013,352600,Junqueirópolis,não,0.9720030063885757,0.9924021040327294,0.745,0.662,0.86,0.727,15898,3226,19124,6011,18726,15399,3327,NA,1530.31662633944,NA,NA,819.6944348427238,1404.7182855167646,NA,NA,8.00207397165572,NA,NA,4.286208088489457,NA,NA,NA,5786,257.64396819910127,441.52696163152433,481.00466643622536,3.181500582265846,NA,NA,NA,NA,NA,NA,NA,5173
2014,352600,Junqueirópolis,não,0.9720030063885757,0.9924021040327294,0.745,0.662,0.86,0.727,16069,3193,19262,6088,18726,15399,3327,18396.734963859635,1541.3594884203249,19938.094452279962,19608.61203229317,825.6094020048391,1414.8548219840993,20434.22143429801,103.50999092659102,8.00207397165572,95.5079169549353,106.0856683329769,4.286208088489456,101.79946024448743,0,69.76744186046511,5786,260.94434842723814,447.182855167646,487.1662633944003,3.1639290407358738,2580,0,2580,2064,1440,384.2254163345277,5982,5173
2015,352600,Junqueirópolis,não,0.9720030063885757,0.9924021040327294,0.745,0.662,0.86,0.727,16241,3161,19402,6164,18726,15399,3327,18837.385779608892,1552.5623919806428,20389.948171589534,20422.855418483523,831.6100933287244,1425.1382647770479,21254.465511812246,105.09199140083257,8.002073971655719,97.08991742917685,109.5478069880025,4.286208088489456,105.26159889951305,0,68.85245901639344,5786,264.2018665744901,452.7652955409609,493.2478396128586,3.1476314081765087,3050,0,3050,2440,1680,443.5946941537414,6157,5173
2016,352600,Junqueirópolis,não,0.9720030063885757,0.9924021040327294,0.745,0.662,0.86,0.727,16406,3128,19534,6241,18726,15399,3327,21025.45979632693,1563.1251296232285,22588.58492595016,22532.128970849524,837.2678880055306,1434.8340822675423,23369.396858855056,115.63727309281336,8.00207397165572,107.63519912115764,119.63446738433016,4.286208088489457,115.3482592958407,0,66.17647058823529,5786,267.50224680262704,458.4211890770826,499.40943657103355,3.129947123858356,3400,0,3400,2720,1800,443.0375641429726,6911,5173
2017,352600,Junqueirópolis,não,0.9720030063885757,0.9924021040327294,0.745,0.662,0.86,0.727,16571,3095,19666,6319,18726,15399,3327,19590.346959436294,1573.687867265814,21164.034826702107,19541.288218835532,842.9256826823366,1444.5298997580364,20384.21390151787,107.61738445389051,8.00207397165572,99.61531048223479,103.65205889107021,4.286208088489457,99.36585080258075,10.764705882352942,71.56943825943125,5786,270.8454891116488,464.15053577601105,505.651054268925,3.1122012976736824,3400,366,3143.8,2515.0400000000004,1800,439.6629984535684,6476,5173
