ano,munip_cod,munip_nome,munip_turistico,abast_rede_fator_correcao,esgot_fator_correcao,idh_2010,idhm_e_2010,idhm_l_2010,idhm_r_2010,proj_pop_urbana,proj_pop_rural,proj_pop_total,proj_domicilios_total,pop_total_2010,pop_urbana_2010,pop_rural_2010,pop_servida_abast_agua,pop_servida_poco_nasc,pop_abast_sist_adequados,pop_servida_rede_esgoto,pop_fossa_septica,pop_fossa_rudimentar,pop_servida_coleta_esgoto,prop_pop_abast_sist_adequados,prop_pop_servida_poco_nasc,prop_pop_servida_rede_publica_agua,prop_pop_servida_coleta_esgoto,prop_pop_fossa_septica,prop_pop_servida_rede_coleta,prop_perdas_rede_dist,prop_esgoto_tratado,num_dom_fossa_septica,num_dom_fossa_rudimentar,num_dom_abast_poco_na_propriedade,taxa_hab_domicilio,volume_agua_efe_disp,volume_agua_perdido_rede,volume_agua_efe_consumido,volume_esgoto_produzido,volume_esgoto_tratado,consumo_medio_per_capita
2011,350020,Adolfo,não,1,1,0.73,0.648,0.844,0.71,3205,342,3547,1208,3557,3200,357,3687.9403973509934,375.3908333333333,4063.331230684327,3696.7491721854303,283.76,195.085,3980.5091721854305,114.55684326710818,10.583333333333334,103.97350993377485,112.22185430463576,8,104.22185430463576,12.775871563519296,95.15230882311893,96.64,66.44,127.84666666666666,2.9362582781456954,236.07,30.159999999999997,214.958,171.96640000000002,163.63,159.30916596353796
2012,350020,Adolfo,não,1,1,0.73,0.648,0.844,0.71,3206,329,3535,1217,3557,3200,357,3813.849630238291,374.1208333333334,4187.970463571624,3828.3730484798684,282.8,194.425,4111.173048479868,118.47158312791018,10.583333333333336,107.88824979457684,116.29909613804436,8,108.29909613804436,12.001633986928102,95.90427856614072,97.36,66.935,128.79916666666668,2.90468364831553,244.8,29.379999999999995,224.234,179.3872,172.04,160.4701836126793
2013,350020,Adolfo,não,1,1,0.73,0.648,0.844,0.71,3206,317,3523,1226,3557,3200,357,3933.9208809135403,372.85083333333336,4306.771714246874,3942.541598694943,281.84,193.76500000000001,4224.381598694943,122.2472811310495,10.583333333333334,111.66394779771618,119.90864600326265,7.999999999999999,111.90864600326265,7.765549647582541,97.45142139812225,98.08,67.43,129.75166666666667,2.873572593800979,242.60999999999999,18.840000000000003,229.42199999999997,183.5376,178.86,159.42848259751966
2014,350020,Adolfo,não,1,1,0.73,0.648,0.844,0.71,3206,306,3512,1235,3557,3200,357,4089.276113360324,371.68666666666667,4460.962780026991,4103.494736842105,280.96,193.16,4384.454736842105,127.02058029689609,10.583333333333334,116.43724696356276,124.84210526315789,7.999999999999999,116.84210526315789,8.677191492646772,102.55965052150542,98.8,67.925,130.70416666666668,2.8437246963562752,259.07,22.47999999999999,243.334,194.6672,199.65,162.46359162232721
2015,350020,Adolfo,não,1,1,0.73,0.648,0.844,0.71,3205,296,3501,1243,3557,3200,357,4174.160901045857,370.52250000000004,4544.683401045857,4185.42719227675,280.08,192.555,4465.50719227675,129.8110083132207,10.583333333333336,119.22767497988735,127.54947707160098,8,119.54947707160098,7.74437339091439,103.87899809013676,99.44,68.365,131.55083333333334,2.8165728077232504,240.82000000000002,18.650000000000034,227.765,182.212,189.28,149.09199705626506
2016,350020,Adolfo,não,1,1,0.73,0.648,0.844,0.71,3203,287,3490,1250,3557,3200,357,4204.7519999999995,369.3583333333333,4574.110333333333,4215.92,279.2,191.95,4495.12,131.06333333333333,10.583333333333332,120.48,128.8,8,120.80000000000001,8.873250511086656,121.45216527429041,100,68.75,132.29166666666666,2.792,254.36,22.57000000000002,238.561,190.8488,231.79,155.02945521307748
2017,350020,Adolfo,não,1,1,0.73,0.648,0.844,0.71,3200,279,3479,1257,3557,3200,357,4237.350039777248,368.19416666666666,4605.544206443914,4245.653142402546,278.32,191.34500000000003,4523.973142402546,132.38126491646779,10.583333333333334,121.79793158313446,130.03659506762133,8,122.03659506762133,12.475647858849486,119.87397902469672,100.56,69.135,133.0325,2.767700875099443,272.05,33.940000000000026,248.292,198.6336,238.10999999999999,160.22318168214207
2018,350020,Adolfo,não,1,1,0.73,0.648,0.844,0.71,3198,271,3469,1264,3557,3200,357,4424.072784810126,367.1358333333333,4791.20861814346,4435.050632911392,277.52,190.795,4712.570632911393,138.1149789029536,10.583333333333334,127.53164556962027,135.84810126582278,8,127.84810126582278,10.978835978835987,120.54019200458517,101.12,69.52,133.77333333333334,2.7444620253164556,272.16,29.880000000000024,251.244,200.9952,242.28,155.2044797232757
2010,350030,Aguaí,não,1,1,0.715,0.606,0.858,0.703,29001,3147,32148,9881,32148,29001,3147,NA,2850.080761056573,NA,28673.244003643355,296.0700333974294,2837.0666936544885,28969.314037040785,NA,8.865499443376176,NA,90.11233680801539,0.9209594170630504,89.19137739095234,6.579773869346734,0,91,872,876,3.253516850521202,6368,419,6074.7,4859.76,0,580.4370686663636
2011,350030,Aguaí,não,1,1,0.715,0.606,0.858,0.703,29359,3105,32464,10089,32148,29001,3147,28358.135791456043,2878.095739297642,31236.231530753685,28358.135791456043,298.98026515534866,2864.953749620484,28657.11605661139,96.21806163982775,8.865499443376176,87.35256219645157,88.27352161351463,0.9209594170630503,87.35256219645159,6.271558482282848,0,92.91559558749114,890.3560368383767,894.4402388422225,3.217761918921598,6378,400,6098,4878.4000000000005,0,589.1377852877783
